 Player (2025 Rookies),Points Per 36 Minutes,Blocks Per 36 Minutes,Assist Per 36 Minutes ,FG% Per 36 Minutes,3p% Per 36 Minutes,Free Throw % Per 36 Minutes,Offensive Rebounds Per 36 Minutes,Defensive Rebounds Per 36 Minutes,Turnovers Per 36 Minutes,Steals Per 36 Minutes,Personal Fouls Per 36 Minutes,,,,Player,Primary Archetype,Secondary Archetype,,
Shai Gilgeous-Alexander,34.4,1.1,7,0.519,0.375,0.898,0.9,4.3,2.5,1.4,2.3,,,,Rookie,Primary Archetype,Secondary Archetype,,
Giannis Antetokounmpo,31.9,1.4,6.8,0.601,0.222,0.617,2.3,10.2,3.2,1.1,2.2,,,,VJ Edgecombe,Two Way,Midrange Specialist,,
Luka Dončić,28.7,0.4,9,0.469,0.313,0.767,0.8,7.9,3.4,1.7,2.7,,,,Cooper Flagg,Two Way,Defensive Playmaker (Perimeter),,
Jayson Tatum,26.4,0.5,5.9,0.452,0.343,0.814,0.7,7.2,2.9,1,2.1,,,,Cade Cunningham,Playmaker,Midrange Specialist,,
Stephen Curry,26.3,0.5,6.2,0.463,0.396,0.937,0.6,3.8,3,1.5,2.4,,,,Paolo Banchero,Slasher,Two Way,,
Anthony Davis,24.1,2.4,3.4,0.491,0.292,0.766,2.8,6.1,2.3,1.3,2.9,,,,Dyson Daniels,Defensive Playmaker (Perimeter),Playmaker,,
Victor Wembanyama,26.3,4.1,4.2,0.426,0.329,0.875,2.2,9.1,2.6,1.5,4,,,,Trey Murphy III,3-Point Specialist,Playmaker,,
Joel Embiid,33.4,1.8,4.1,0.539,0.341,0.828,2.5,9.9,3.4,1,3.4,,,,Rui Hachimura,Midrange Specialist,Slasher,,
Kevin Durant,26.2,1,5.4,0.527,0.43,0.839,0.5,4.6,2.8,1.1,2.4,,,,Franz Wagner,Two Way,3-Level Scorer,,
Devin Booker,29,0.4,5,0.528,0.547,0.921,0.5,4.2,2.1,1.3,2.1,,,,Demar DeRozan,Midrange Specialist,Shot Creator,,
Anthony Edwards,26.2,0.5,5.3,0.462,0.392,0.822,0.8,4.1,2.6,1.1,2.3,,,,Kelly Oubre Jr.,Slasher,Two Way,,
Jalen Brunson,27.4,0.1,6.3,0.488,0.384,0.821,0.3,3,1.8,0.9,2.4,,,,Grayson Allen,3-Point Specialist,Playmaker,,
Kyrie Irving,26.4,0.5,5.4,0.514,0.416,0.785,0.6,4,2,1.3,2.6,,,,Andrew Wiggins,Two Way,Slasher,,
Ja Morant,27.5,0.4,7.4,0.467,0.316,0.772,0.8,3.6,2.7,1,2.9,,,,Lauri Markkanen,3-Level Scorer,Stretch Forward,,
Bam Adebayo,21,1.1,4.4,0.522,0,0.875,2.7,5.7,2,1.4,2.3,,,,Duncan Robinson,3-Point Specialist,Movement Shooter,,
Jaylen Brown,24.2,0.3,3.5,0.464,0.353,0.85,1.5,3.3,2.6,1.3,2.2,,,,Payton Pritchard,Playmaker,Shot Creator,,
Karl-Anthony Towns,23.4,1.3,4.3,0.531,0.457,0.852,1.8,6.1,2.5,0.9,2.7,,,,Jaylen Brown,Slasher,Two Way,,
Pascal Siakam,19,0.4,3.6,0.514,0.329,0.861,1.4,4.8,2.2,1,2,,,,Trey Murphy III,3-Point Specialist,Playmaker,,
De’Aaron Fox,26.4,0.5,5.1,0.538,0.512,0.827,0.7,3.2,2.1,1.3,2.2,,,,Dyson Daniels,Defensive Playmaker,Shot Creator,,
LeBron James,25.2,0.7,7.8,0.521,0.412,0.755,0.9,6.7,3.3,1.3,1.6,,,,Cooper Flagg,Two Way,Slasher,,
,,,,,,,,,,,,,,,Paolo Banchero,Slasher,Playmaker,,
Averages,24.073,0.785,5.183,0.4866,0.3608,0.8124,1.256,4.998,2.373,1.239,2.554,,,,,,,,
Minimum,9.9,0,1.3,0.352,0,0.6,0.3,2.5,0.7,0.7,1.6,,,,,,,,
Maximum,34.5,4.1,10.2,0.601,0.547,0.937,2.8,10.2,4.1,2.5,4,,,,,,,,
Standard Deviation,5.842,0.718,2.031,0.0497,0.0899,0.0738,0.733,1.974,0.755,0.371,0.507,,,,,,,,
